TC 1 time,TC 1 data,TC 2 time,TC 2 data,TC 3 time,TC 3 data
1650207407.8588853,26.14170125034232,1650207407.8441308,26.188123601023072,1650207408.3153763,Out of Range
1650207408.8752515,26.249253957006545,1650207408.8603806,26.7785270588789,1650207409.3433638,Out of Range
1650207409.8913887,26.086943004617435,1650207409.876544,26.215500492099835,1650207410.371252,Out of Range
1650207410.9078956,26.16856825114267,1650207410.8929145,26.76680036129721,1650207411.3991446,Out of Range
1650207411.9241638,26.43109126547982,1650207411.9092562,26.422759987618402,1650207412.426878,Out of Range
1650207412.9403458,26.059051707821876,1650207412.925507,26.631423281139718,1650207413.4547849,Out of Range
1650207413.970495,26.414939602397244,1650207413.9509003,26.565471983545976,1650207414.4826665,Out of Range
1650207414.9870033,26.22332233265848,1650207414.9698648,26.789742897325343,1650207415.5107827,Out of Range
1650207416.003493,26.209634074252275,1650207415.9859655,26.77019853507449,1650207416.5386393,Out of Range
1650207417.0193672,26.47112521865903,1650207417.0020037,26.961717857630962,1650207417.5667617,Out of Range
1650207418.0346224,26.011601525988404,1650207418.0179396,26.709608739409546,1650207418.5950305,Out of Range
1650207419.0504916,26.289805674252953,1650207419.034153,26.813195659878016,1650207419.6231556,Out of Range
1650207420.0662148,26.25460912449634,1650207420.050267,27.03597120317014,1650207420.6511388,Out of Range
1650207421.0820048,26.530284491988755,1650207421.0664346,26.89867408437255,1650207421.679266,Out of Range
1650207422.097359,26.61383076492874,1650207422.082621,26.648504757772603,1650207422.7064931,Out of Range
1650207423.1136937,26.35381874231325,1650207423.0987463,27.017874778357974,1650207423.7353282,Out of Range
1650207424.129884,26.778016322894725,1650207424.1150038,26.692017509965773,1650207424.7794607,Out of Range
1650207425.1462464,26.414428692745545,1650207425.1312962,27.05355676447362,1650207425.8127656,Out of Range
1650207426.1626306,26.462794347906744,1650207426.1476402,26.824411181970845,1650207426.8396537,Out of Range
1650207427.1787586,26.840556565116245,1650207427.16388,27.21521056222271,1650207427.8675256,Out of Range
1650207428.194997,26.344042622720018,1650207428.180168,27.203488665558847,1650207428.8952599,Out of Range
1650207429.2122228,26.71156330258283,1650207429.197183,26.88694870646309,1650207429.92314,Out of Range
1650207430.2335076,27.164414744862178,1650207430.2133145,27.211303277671387,1650207430.9514198,Out of Range
1650207431.254476,26.775551191924496,1650207431.2294083,27.11166267828014,1650207431.9793873,Out of Range
1650207432.2704926,26.60354624815941,1650207432.2455342,27.158553533123083,1650207433.0075338,Out of Range
1650207433.2854414,26.91286415303185,1650207433.2613113,27.303120673832836,1650207434.0355222,Out of Range
1650207434.3010538,26.819058770029393,1650207434.27742,27.166368474941716,1650207435.0635312,Out of Range
1650207435.31706,26.902582515045022,1650207435.2934477,27.037414604686106,1650207436.091798,Out of Range
1650207436.3330145,26.521443223136664,1650207436.3094335,27.150738533971026,1650207437.1198952,Out of Range
1650207437.3479197,26.88499446428596,1650207437.325546,27.144877246983107,1650207438.147897,Out of Range
1650207438.363659,26.74818862105339,1650207438.34156,27.502356708282388,1650207439.1759355,Out of Range
1650207439.3784006,26.826365535068874,1650207439.357654,27.456923879688652,1650207440.204759,Out of Range
1650207440.3945384,27.334886274506882,1650207440.373635,27.394419804264757,1650207441.2386603,Out of Range
1650207441.4094863,26.967580151832994,1650207441.3899438,27.59559167697278,1650207442.2681584,Out of Range
1650207442.4244034,27.04327648275017,1650207442.4061189,27.24256115263323,1650207443.29616,Out of Range
1650207443.4403787,27.004196686857185,1650207443.422348,27.61172532445604,1650207444.3231602,Out of Range
1650207444.457828,26.67000598534942,1650207444.4383,27.65222543195617,1650207445.3509388,Out of Range
1650207445.4760144,27.045230434942045,1650207445.454452,27.61902670038576,1650207446.378919,Out of Range
1650207446.4937248,26.958742596948543,1650207446.4705117,27.630744018237902,1650207447.4069052,Out of Range
1650207447.5096333,27.01056932472285,1650207447.4866958,27.66054696507149,1650207448.434919,Out of Range
1650207448.5256522,26.867406123657563,1650207448.502749,27.648319752683307,1650207449.4628766,Out of Range
1650207449.541684,26.906490931401674,1650207449.517965,27.648829975965796,1650207450.4909554,Out of Range
1650207450.5577667,26.9299411288936,1650207450.5341659,27.453017482599595,1650207451.5191479,Out of Range
1650207451.5736659,27.185905578641325,1650207451.5501497,27.221071462167792,1650207452.5463765,Out of Range
1650207452.5886898,27.02959871712892,1650207452.565126,27.652735653362544,1650207453.5743852,Out of Range
1650207453.6045039,27.273818109920406,1650207453.5891283,27.4711064651009,1650207454.6052604,Out of Range
1650207454.632184,27.166368474941716,1650207454.6173804,27.39883675989442,1650207455.6362624,Out of Range
1650207455.6631324,27.18446237825527,1650207455.6484346,27.794772895287885,1650207456.6672616,Out of Range
1650207456.6940367,27.348049704895256,1650207456.6793158,27.81429845456038,1650207457.6981456,Out of Range
1650207457.7247949,27.23083955705588,1650207457.7103136,27.90462150040972,1650207458.7291415,Out of Range
1650207458.7557857,27.45208496216004,1650207458.7411919,27.793330473454247,1650207459.7592754,Out of Range
1650207459.786465,27.475012795732848,1650207459.7715795,27.392976838828652,1650207460.8090334,Out of Range
1650207460.8386369,27.031552694390093,1650207460.8262987,27.803093311260167,1650207461.8421724,Out of Range
1650207461.9019477,27.411066890356267,1650207461.8889918,28.11545669087521,1650207462.8964217,Out of Range
1650207462.9261363,27.43450598225308,1650207462.911287,27.8811927805659,1650207463.9245157,Out of Range
1650207463.9542787,27.224978710876243,1650207463.9422472,27.871940825050153,1650207464.9525235,Out of Range
1650207464.9826818,27.395440542115605,1650207464.9706872,27.846558906701013,1650207465.980397,Out of Range
1650207466.010681,27.06332639539878,1650207465.9985654,27.797235619352833,1650207467.0088937,Out of Range
1650207467.0391424,26.956366182100325,1650207467.0270605,27.780172557568964,1650207468.036879,Out of Range
1650207468.0668836,27.24111802902964,1650207468.0548327,27.9441783460176,1650207469.064758,Out of Range
1650207469.0941184,27.50677326333357,1650207469.0795588,28.480924612831835,1650207470.092633,Out of Range
1650207470.1225314,27.592706337943756,1650207470.1104481,27.968115839984257,1650207471.12065,Out of Range
1650207471.1502917,27.885607760354915,1650207471.1384206,28.00860225465206,1650207472.1489143,Out of Range
1650207472.1667929,27.33683969177365,1650207472.1788013,27.83484397037388,1650207473.1768882,Out of Range
1650207473.191783,27.83484397037388,1650207473.2065969,28.246741503887936,1650207474.2079089,Out of Range
1650207474.2200592,27.55169369182029,1650207474.2350605,28.26625874129581,1650207475.2389178,Out of Range
1650207475.2509272,27.918798155961415,1650207475.2654858,28.171130909408085,1650207476.2697792,Out of Range
1650207476.281957,27.44868896217168,1650207476.2966797,27.964721537650174,1650207477.3159726,Out of Range
1650207477.303878,27.87440346549723,1650207477.330913,28.325318288890834,1650207478.3987546,Out of Range
1650207478.324588,27.716245063670485,1650207478.3712542,28.290188961689733,1650207479.4262464,Out of Range
1650207479.367933,27.74358276831344,1650207479.387373,28.415087941313978,1650207480.4530232,Out of Range
1650207480.384166,28.06962823490455,1650207480.4033322,28.307753770960723,1650207481.4796476,Out of Range
